N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000002,-
101,0.000009,0.000016,-
201,0.000015,0.000028,-
301,0.000024,0.000042,-
401,0.000031,0.000057,-
501,0.000039,0.000071,-
601,0.000049,0.000088,-
701,0.000056,0.000106,-
801,0.000065,0.000123,-
901,0.000074,0.000137,-
1001,0.000081,0.000154,-
1101,0.000090,0.000166,-
1201,0.000099,0.000185,-
1301,0.000109,0.000200,-
1401,0.000118,0.000216,-
1501,0.000133,0.000236,-
1601,0.000139,0.000250,-
1701,0.000150,0.000260,-
1801,0.000158,0.000283,-
1901,0.000169,0.000313,-
2001,0.000179,0.000315,-
2101,0.000191,0.000328,-
2201,0.000205,0.000353,-
2301,0.000213,0.000365,-
2401,0.000224,0.000379,-
2501,0.000237,0.000399,-
2601,0.000256,0.000419,-
2701,0.000256,0.000435,-
2801,0.000270,0.000459,-
2901,0.000281,0.000481,-
3001,0.000300,0.000524,-
3101,0.000303,0.000513,-
3201,0.000325,0.000537,-
3301,0.000339,0.000552,-
3401,0.000345,0.000567,-
3501,0.000362,0.000595,-
3601,0.000390,0.000611,-
3701,0.000391,0.000629,-
3801,0.000410,0.000647,-
3901,0.000416,0.000660,-
4001,0.000432,0.000689,-
4101,0.000461,0.000721,-
4201,0.000472,0.000734,-
4301,0.000483,0.000746,-
4401,0.000492,0.000770,-
4501,0.000525,0.000792,-
4601,0.000524,0.000827,-
4701,0.000536,0.000843,-
4801,0.000579,0.000896,-
4901,0.000598,0.000923,-
5001,0.000600,0.000913,-
5101,0.000609,0.000923,-
5201,0.000643,0.000965,-
5301,0.000663,0.000985,-
5401,0.000693,0.001005,-
5501,0.000705,0.001043,-
5601,0.000714,0.001083,-
5701,0.000740,0.001108,-
5801,0.000751,0.001124,-
5901,0.000802,0.001159,-
6001,0.000802,0.001185,-
6101,0.000835,0.001201,-
6201,0.000864,0.001237,-
6301,0.000894,0.001298,-
6401,0.000917,0.001294,-
6501,0.000944,0.001319,-
6601,0.000976,0.001342,-
6701,0.000995,0.001392,-
6801,0.001004,0.001398,-
6901,0.001012,0.001414,-
7001,0.001063,0.001470,-
7101,0.001074,0.001486,-
7201,0.001100,0.001512,-
7301,0.001126,0.001548,-
7401,0.001181,0.001609,-
7501,0.001188,0.001608,-
7601,0.001216,0.001633,-
7701,0.001247,0.001679,-
7801,0.001290,0.001680,-
7901,0.001324,0.001713,-
8001,0.001343,0.001734,-
8101,0.001370,0.001781,-
8201,0.001384,0.001831,-
8301,0.001459,0.001831,-
8401,0.001446,0.001850,-
8501,0.001495,0.001886,-
8601,0.001536,0.001940,-
8701,0.001544,0.001965,-
8801,0.001581,0.001970,-
8901,0.001610,0.002018,-
9001,0.001647,0.002096,-
9101,0.001685,0.002126,-
9201,0.001713,0.002148,-
9301,0.001743,0.002201,-
9401,0.001766,0.002207,-
9501,0.001805,0.002242,-
9601,0.001827,0.002252,-
9701,0.001885,0.002325,-
9801,0.001933,0.002447,-
9901,0.001949,0.002375,-
